oferta,precio,mts,bathrooms,recamaras,lat,lon,fuente,fecha_consulta,precio_m2
casas en venta punta piedra seccion mision ensenada b.c.,477945.0,400.0,,,32.0956281,-116.572572,easyaviso,2025-09-27 22:24:19.403530,1194.8625
casa frente al mar en venta en la mision ensenada,3000000.0,600.0,,,31.8822189,-116.5938004,easyaviso,2025-09-27 22:24:19.403530,5000.0
casa en venta ensenada,9007425.0,42.52,,,31.8679715,-116.6356232,easyaviso,2025-09-27 22:24:19.403530,211839.72248353713
departamento con amenidades de nivel,5900000.0,288.0,3.0,3.0,31.7876339,-116.6085097,easyaviso,2025-09-27 22:24:19.403530,20486.11111111111
condominio en venta en vinedos del mar ensenada,675000.0,245.48,,,31.8792395946,-116.5365953948,easyaviso,2025-09-27 22:24:19.403530,2749.714844386508
casa en venta en playas de chapultepec ensenada,3750000.0,122.86,2.0,3.0,31.890621458,-116.6796111969,easyaviso,2025-09-27 22:24:19.403530,30522.54598730262
preventa de 7 casas en ex ejido chapultepec ensenada,2800000.0,135.04,2.0,4.0,31.9097948,-116.600801,easyaviso,2025-09-27 22:24:19.403530,20734.597156398104
casa modelo terra plus  en gaia residencial ensenada b.c.,4000000.0,150.04,2.0,3.0,31.8025517904,-116.5848365536,easyaviso,2025-09-27 22:24:19.403530,26659.55745134631
casas en venta en col. granjas el gallo ensenada b.c.,6800000.0,227.18,2.0,3.0,31.802579,-116.5842185,easyaviso,2025-09-27 22:24:19.403530,29932.212342635794
casa en fraccionamiento los encinos ensenada b.c.,5500000.0,150.0,2.0,3.0,31.8744280654,-116.633868853,easyaviso,2025-09-27 22:24:19.403530,36666.666666666664
se vende casa amueblada en fracc. andarez residencial ensenada b.c.,2680000.0,119.0,,4.0,31.9038475006,-116.5963446544,easyaviso,2025-09-27 22:24:19.403530,22521.008403361346
casa en preventa modelo estero fracc. andarez residencial ensenada b.c,3150000.0,107.0,2.0,3.0,31.7885612,-116.5823607,easyaviso,2025-09-27 22:24:19.403530,29439.252336448597
departamentos en preventa en col azteca ensenada b.c.,3900000.0,117.0,2.0,3.0,31.8185105271,-116.5944564019,easyaviso,2025-09-27 22:24:19.403530,33333.333333333336
casa en venta en fraccionamiento las lomitas lll etapa ensenada,1550000.0,397.45,,,31.7238310039,-116.6922570108,easyaviso,2025-09-27 22:24:19.403530,3899.8616178135617
casas en preventa  ubicadas en blvd zertuche,6800000.0,,2.0,3.0,31.802579,-116.5842185,easyaviso,2025-09-27 22:24:19.403530,
casa en venta en carlos pacheco 7   ensenada b.c.,4395000.0,156.97,3.0,3.0,31.802579,-116.5842185,easyaviso,2025-09-27 22:24:19.403530,27998.980696948463
casa en preventa modelo oceano  en fracc. andarez residencial,6300000.0,210.57,2.0,3.0,31.8871415991,-116.6830015097,easyaviso,2025-09-27 22:24:19.403530,29918.79185069098
casa en preventa andarez residencial modelo horizonte plus,7109431.875,72.92,,,31.869207309,-116.6705320214,easyaviso,2025-09-27 22:24:19.403530,97496.32302523313
casa en preventa modelo bruma plus fracc. andarez residencial,5310000.0,118.13,2.0,2.0,31.8892222,-116.6809248,easyaviso,2025-09-27 22:24:19.403530,44950.47828663337
casa preventa en fracc. colinas del sauzal ensenada b.c.,6516000.0,177.44,2.0,3.0,31.8892222,-116.6809248,easyaviso,2025-09-27 22:24:19.403530,36722.27231740307
condos en venta en cosmopolitan by the sea,5400000.0,169.83,2.0,3.0,31.8878430472,-116.682508068,easyaviso,2025-09-27 22:24:19.403530,31796.502384737676
casa en preventa modelo bahia en fracc. andarez residencial ensenada b.c.,3500000.0,166.12,2.0,3.0,31.8460018946,-116.5928202828,easyaviso,2025-09-27 22:24:19.403530,21069.106669877197
casa en fracc. valle dorado seccion rios ensenada b.c.,5200000.0,178.0,2.0,3.0,31.818016,-116.5956287,easyaviso,2025-09-27 22:24:19.403530,29213.483146067414
casa a estrenar en fraccionamiento privado pacifica residencial modelo arrecife,5600000.0,226.0,2.0,3.0,31.844621141,-116.6018539717,easyaviso,2025-09-27 22:24:19.403530,24778.7610619469
casas en venta en fracc. valle dorado ensenada b.c.,5400000.0,176.16,2.0,3.0,31.8877883891,-116.6827332916,easyaviso,2025-09-27 22:24:19.403530,30653.950953678475
departamento modelo palomino en vinedos del mar ensenada b.c.,4850000.0,164.31,2.0,3.0,31.8389885457,-116.6066980371,easyaviso,2025-09-27 22:24:19.403530,29517.375692288966
casa en venta en modelo halcon fracc. colinas del sauzal ensenada b.c.,4150000.0,139.93,2.0,2.0,31.8390888052,-116.6054480859,easyaviso,2025-09-27 22:24:19.403530,29657.685985850065
casa en preventa en fracc. residencial diamante ensenada b.c,1950000.0,200.0,,,31.7708689236,-116.5564924331,easyaviso,2025-09-27 22:24:19.403530,9750.0
casa en preventa en fracc. residencial diamante ensenada b.c,132354000.0,,,,31.9673976,-116.6260689,easyaviso,2025-09-27 22:24:19.403530,
casa en preventa en fracc. residencial diamante ensenada b.c,11011117.5,350.0,2.0,4.0,31.8182309347,-116.5912007123,easyaviso,2025-09-27 22:24:19.403530,31460.335714285713
versatil propiedad en venta san antonio de las minas,2362151.25,851.0,,,32.0307144,-116.6566935,easyaviso,2025-09-27 22:24:19.403530,2775.7358989424206
venta de casa en juan diego residencial,3500000.0,179.0,5.0,4.0,31.8771279,-116.6534989,easyaviso,2025-09-27 22:24:19.403530,19553.072625698325
casa en venta en ensenada baja california,14522175.0,450.0,3.0,4.0,31.8369786579,-116.6038644936,easyaviso,2025-09-27 22:24:19.403530,32271.5
departamento en venta en ensenada baja california.,7280265.410775,,,,25.7847745,-100.430616,easyaviso,2025-09-27 22:24:19.403530,
departamento en venta e n ensenada baja california.,9882432.0,383.31,,,32.0853515345,-116.8846400094,easyaviso,2025-09-27 22:24:19.403530,25781.826719887296
departamento en ensenada baja california.,7818767.880525,136.08,2.0,2.0,31.8315843,-116.6090624,easyaviso,2025-09-27 22:24:19.403530,57457.14197916666
departamento en ensenada baja california.,250000.0,200.0,,,23.0628329,-109.6952876,easyaviso,2025-09-27 22:24:19.403530,1250.0
departamento en ensenada baja california.,3500000.0,179.0,2.0,4.0,31.8771279,-116.6534989,easyaviso,2025-09-27 22:24:19.403530,19553.072625698325
casa de campo en venta,5055187.5,220.0,3.0,4.0,31.7858247,-116.6096395,easyaviso,2025-09-27 22:24:19.403530,22978.125
casa residencial en venta,3350000.0,194.0,2.0,3.0,31.8725625,-116.6629533,easyaviso,2025-09-27 22:24:19.403530,17268.0412371134
ampliacion moderna  departamento en venta  ensenada,3200000.0,130.0,3.0,2.0,31.7849958,-116.6091617,easyaviso,2025-09-27 22:24:19.403530,24615.384615384617
casa con depto. en venta en fracc. pedregal playitas ensenada baja california,1000000.0,249.0,,,31.873826,-116.6449592,easyaviso,2025-09-27 22:24:19.403530,4016.0642570281125
casa en venta en playas de chapultepec ensenada b.c,1000000.0,249.0,,,31.8715505,-116.6418488,easyaviso,2025-09-27 22:24:19.403530,4016.0642570281125
condominio de lujo frente al mar,4044150.0,115.0,2.0,3.0,31.8126782,-116.5913622,easyaviso,2025-09-27 22:24:19.403530,35166.52173913043
casa amueblada modelo azur en vinedos del mar,4595625.0,580.0,,,31.8710660423,-116.6716772318,easyaviso,2025-09-27 22:24:19.403530,7923.491379310345
venta  8 ha  parcela  salitral,2022075.0,,,,31.8866149074,-116.5979848434,easyaviso,2025-09-27 22:24:19.403530,
1 ha  las arboledas  5 min de libramento ensenada,2297812.5,500.0,,,31.7867128071,-116.5697196122,easyaviso,2025-09-27 22:24:19.403530,4595.625
en venta estacionamiento aclientado en ensenada,3300000.0,301.51,2.0,3.0,31.0940346,-116.1914852,easyaviso,2025-09-27 22:24:19.403530,10944.910616563298
casa de dos pisos amueblada a una cuadra de estero beach,52849687.5,251.2,8.0,10.0,31.988677467,-116.6793751717,easyaviso,2025-09-27 22:24:19.403530,210388.88335987262
casa en venta  revolucion,1284936.75,300.0,,,32.0550811603,-116.8664646201,easyaviso,2025-09-27 22:24:19.403530,4283.1225
hacienda san jose  propiedad comercial a la venta en el valle de guadalupe,950000.0,255.0,,,31.8695148,-116.6398586,easyaviso,2025-09-27 22:24:19.403530,3725.4901960784314
lot 22 colinas de puerto salina,2490000.0,85.0,,2.0,31.8830936,-116.6186995,easyaviso,2025-09-27 22:24:19.403530,29294.117647058825
se vende casa centrica 2490000,5600000.0,238.0,2.0,3.0,31.8448646,-116.6020234,easyaviso,2025-09-27 22:24:19.403530,23529.41176470588
casa en venta,3400762.5,385.0,,,32.021662711,-116.868750295,easyaviso,2025-09-27 22:24:19.403530,8833.14935064935
amplia y bonita casa centrica,3950000.0,,2.0,2.0,31.8393131,-116.6060281,easyaviso,2025-09-27 22:24:19.403530,
penthouse al norte de ensenada,1588248.0,920.0,,,32.0956281,-116.572572,easyaviso,2025-09-27 22:24:19.403530,1726.3565217391304
venta departamento vista al mar,5350000.0,150.0,2.0,3.0,31.8877426,-116.6814426,easyaviso,2025-09-27 22:24:19.403530,35666.666666666664
amplia casa en excelente fraccionamiento.,1521280.5525,615.0,,,31.7322424832,-116.5799443238,easyaviso,2025-09-27 22:24:19.403530,2473.6269146341465
casa en privada con vista al mar,6000000.0,,,,31.8707995,-116.642908,easyaviso,2025-09-27 22:24:19.403530,
venta de casa en 6000000 m.n,390000.0,30.0,,,32.0956281,-116.572572,easyaviso,2025-09-27 22:24:19.403530,13000.0
oportunidad inversion,17647200.0,,4.0,5.0,31.8762717,-116.6296224,easyaviso,2025-09-27 22:24:19.403530,
residencia col. azteca ensenada b. c.,16544250.0,500.0,,,32.0996533,-116.5798062,easyaviso,2025-09-27 22:24:19.403530,33088.5
casa en venta en punta piedra ensenada,6755568.75,170.0,2.0,3.0,31.865716,-116.6621833,easyaviso,2025-09-27 22:24:19.403530,39738.63970588235
