oferta,precio,mts,recamaras,bathrooms,lat,lon,fecha_consulta,fuente,precio_m2
casa en  playas de chapultepec ensenada,3650000.0,120.0,3,2,31.7858,-116.609,2025-09-27 23:03:14.104353,icasas,30416.666666666668
casa en  avenida articulo constitucional articulo 115 articulo ciento quince ensenada baja california 22756 mex,2919844.2,71.0,2,1,32.076933,-116.574567,2025-09-27 23:03:14.104353,icasas,41124.5661971831
casa en  calle isla de cedros 278 popular 1989 ensenada baja california 22812 mex,2800000.0,166.0,4,2,31.891975,-116.570594,2025-09-27 23:03:14.104353,icasas,16867.469879518074
casa en  calle sonora la mision localidad ensenada baja california 22765 mex,6041690.2,172.0,2,2,32.092441,-116.849655,2025-09-27 23:03:14.104353,icasas,35126.10581395349
casa en  avenida moctezuma 1561 zona centro ensenada baja california 22800 mex,20200180.0,890.0,3,3,31.879521,-116.622962,2025-09-27 23:03:14.104353,icasas,22696.83146067416
departamento en  de la villa zona playitas ensenada baja california 22870 mex,10052454.3,127.0,2,2,31.865715,-116.662313,2025-09-27 23:03:14.104353,icasas,79153.18346456693
departamento en  de la villa zona playitas ensenada baja california 22870 mex,8904478.07,122.0,2,2,31.865715,-116.662313,2025-09-27 23:03:14.104353,icasas,72987.52516393444
departamento en  de la villa zona playitas ensenada baja california 22870 mex,36280863.84,442.0,4,4,31.865715,-116.662313,2025-09-27 23:03:14.104353,icasas,82083.40235294118
casa en  camino a santa rosalia ensenada baja california 22765 mex,8539167.0,232.0,3,3,32.085238,-116.882107,2025-09-27 23:03:14.104353,icasas,36806.754310344826
casa en  camino a santa rosalia ensenada baja california 22765 mex,6041690.2,172.0,2,2,32.085238,-116.882107,2025-09-27 23:03:14.104353,icasas,35126.10581395349
casa en  camino a santa rosalia ensenada baja california 22765 mex,9090081.0,249.0,3,3,32.085238,-116.882107,2025-09-27 23:03:14.104353,icasas,36506.34939759036
casa en  la mision ensenada,7804615.0,190.0,4,3,32.0683582,-116.6563926,2025-09-27 23:03:14.104353,icasas,41076.92105263158
casa en  moderna ensenada,6980000.0,380.0,4,5,31.872346229439,-116.641332800516,2025-09-27 23:03:14.104353,icasas,18368.42105263158
casa en  calle san patricio 317 del sol ensenada baja california 22810 mex,2200000.0,85.0,3,1,31.90362,-116.585225,2025-09-27 23:03:14.104353,icasas,25882.352941176472
casa en  cibolas del mar ensenada,11936470.0,232.0,3,4,31.905442318577,-116.727322872396,2025-09-27 23:03:14.104353,icasas,51450.30172413793
casa en  moderna ensenada,34340306.0,800.0,6,6,31.870732706067,-116.643023627619,2025-09-27 23:03:14.104353,icasas,42925.3825
casa en  moderna ensenada,7450000.0,306.0,4,3,31.8707,-116.643,2025-09-27 23:03:14.104353,icasas,24346.40522875817
casa en  costa bella ensenada,10999916.2,350.0,4,2,31.818087947005,-116.591114078924,2025-09-27 23:03:14.104353,icasas,31428.332
casa en  moderna ensenada,4750000.0,136.0,2,2,31.8773475,-116.649087,2025-09-27 23:03:14.104353,icasas,34926.470588235294
